Full Title,Car Name,URL,Price (in Lakhs),Location,City,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine,Transmission,Power,Drive Type,Mileage,Year of Manufacture
2018 Renault Duster Petrol RXS CVT,Renault Duster,https://www.cardekho.com/used-car-details/used-Renault-duster-petrol-rxs-cvt-cars-Mumbai_90f8626a-ca5a-449e-baec-c4a43f4b2c79.htm,5.95,"Andheri East, Mumbai",Mumbai,Apr 2018,Comprehensive,Petrol,5,56000,Mumbai,First Owner,1498,Automatic,104.5,FWD,14.99,2018
2017 Jeep Compass 1.4 Longitude Plus AT,Jeep Compass,https://www.cardekho.com/used-car-details/used-Jeep-compass-14-longitude-plus-at-cars-Mumbai_fdd2e812-d5cd-4259-81ee-b6df920c73e7.htm?adId=74&adType=41,11.9,"Vikhroli, Mumbai",Mumbai,Dec 2017,Expired,Petrol,5,44000,Mumbai,First Owner,1368,Automatic,160.77,4X2,14.1,2017
2017 Honda BR-V i-VTEC V CVT,Honda BR-V,https://www.cardekho.com/used-car-details/used-Honda-br-v-i-vtec-v-cvt-cars-Thane_74aa846c-1769-40e0-93b6-4f1f037e8a66.htm,7.5,Thane,Thane,Nov 2017,Comprehensive,Petrol,7,41613,Mumbai,First Owner,1497,Automatic,117.3,FWD,15.4,2017
2018 Ford Ecosport 1.5 Petrol Titanium Plus AT BSIV,Ford Ecosport,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-petrol-titanium-plus-at-bsiv-cars-Thane_f9d6a0ff-6f17-4f8e-a2f0-71af1a3589a1.htm,7.85,Thane,Thane,Jan 2019,Expired,Petrol,5,56516,Mumbai,First Owner,1497,Automatic,121.36,FWD,14.8,2018
2016 Honda BR-V i-VTEC V CVT,Honda BR-V,https://www.cardekho.com/used-car-details/used-Honda-br-v-i-vtec-v-cvt-cars-Navi-Mumbai_b46afaf2-9e89-49fd-9727-8612c9f82c6a.htm,6.95,"Sanpada, Navi Mumbai",Navi Mumbai,Dec 2016,Third Party,Petrol,7,72300,Mumbai,First Owner,1497,Automatic,117.3,FWD,15.4,2016
2018 Honda Amaze V CVT Petrol BSIV,Honda Amaze,https://www.cardekho.com/used-car-details/used-Honda-amaze-v-cvt-petrol-bsiv-cars-Mumbai_f20ce599-18ba-4368-a017-7fab12d04807.htm?adId=33&adType=41,6.45,"Antop Hill, Mumbai",Mumbai,Jul 2018,Expired,Petrol,5,53000,Mumbai,First Owner,1199,Automatic,88.76,N/A,19.0,2018
2017 Ford Ecosport 1.5 Ti VCT AT Titanium BSIV,Ford Ecosport,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-ti-vct-at-titanium-bsiv-cars-Thane_70c60ce8-9f42-4b4e-a329-9b84646ceeec.htm,5.8,"West, Thane",Thane,Mar 2017,Third Party,Petrol,5,53999,Mumbai,First Owner,1499,Automatic,110.4,FWD,15.63,2017
2016 Honda BR-V i-VTEC V CVT,Honda BR-V,https://www.cardekho.com/used-car-details/used-Honda-br-v-i-vtec-v-cvt-cars-Thane_f5a8d818-8495-44f4-be0a-6ce81de2f640.htm,7.95,"West, Thane",Thane,Nov 2016,Third Party,Petrol,7,55816,panvel,First Owner,1497,Automatic,117.3,FWD,15.4,2016
2016 Honda BR-V i-VTEC V CVT,Honda BR-V,https://www.cardekho.com/used-car-details/used-Honda-br-v-i-vtec-v-cvt-cars-Mumbai_f66711a7-660b-4ded-af53-5f46910e181c.htm,7.45,"Goregaon West, Mumbai",Mumbai,Aug 2016,Comprehensive,Petrol,7,52100,Mumbai,First Owner,1497,Automatic,117.3,FWD,15.4,2016
2021 Kia Seltos HTX IVT G,Kia Seltos,https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-ivt-g-cars-Mumbai_c37e907f-6a7a-41a7-84b8-9a6b28abba46.htm?adId=732&adType=41,15.25,"Vileparle(west) S.o, Mumbai",Mumbai,Jul 2021,Zero Dep,Petrol,5,13000,Navi Mumbai,First Owner,1497,Automatic,113.42,2WD,16.8,2021
